,loss,acc,val_loss,val_acc,lr
0,1.0295320749282837,0.7016666531562805,0.554402768611908,0.8083333373069763,0.001
1,0.27107563614845276,0.9458333253860474,0.2580150067806244,0.9474999904632568,0.001
2,0.13522785902023315,0.9827083349227905,0.1742427796125412,0.9691666960716248,0.001
3,0.08848309516906738,0.9901041388511658,0.13293351233005524,0.9741666913032532,0.001
4,0.05947568267583847,0.9954166412353516,0.13133321702480316,0.9649999737739563,0.001
5,0.04519997537136078,0.9967708587646484,0.09570180624723434,0.9800000190734863,0.001
6,0.03407860919833183,0.9990624785423279,0.08599643409252167,0.9816666841506958,0.001
7,0.025997087359428406,0.9990624785423279,0.07886265963315964,0.9850000143051147,0.001
8,0.02181401662528515,0.9994791746139526,0.0784507617354393,0.9800000190734863,0.001
9,0.016269808635115623,0.99979168176651,0.06810492277145386,0.9833333492279053,0.001
10,0.014351588673889637,0.9998958110809326,0.07421351224184036,0.9850000143051147,0.001
11,0.01196606457233429,1.0,0.06473194807767868,0.9833333492279053,0.001
12,0.009924620389938354,1.0,0.06263980269432068,0.9858333468437195,0.001
13,0.008620332926511765,1.0,0.06447461247444153,0.9825000166893005,0.001
14,0.0075425440445542336,1.0,0.058948662132024765,0.98416668176651,0.001
15,0.006577440537512302,1.0,0.058908965438604355,0.9816666841506958,0.001
16,0.005890061613172293,1.0,0.05609282851219177,0.9850000143051147,0.001
17,0.005326902028173208,1.0,0.056248124688863754,0.9866666793823242,0.001
18,0.004719596356153488,1.0,0.0572931170463562,0.98416668176651,0.001
19,0.004247021861374378,1.0,0.05256030336022377,0.98416668176651,0.001
